Price,Open,High,Low,Close,Volume,Difference
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,
Date,,,,,,
2021-03-23,1182.6047683710906,1191.910892235116,1171.5322754263343,1181.829345703125,7165335,0.6463623046875
2021-03-24,1170.0241758418215,1180.8812486522415,1160.0287771462733,1166.4913330078125,6134303,-15.3380126953125
2021-03-25,1160.4599100900655,1165.414537513877,1143.9588255459664,1149.30126953125,8749994,-17.1900634765625
2021-03-26,1158.6932492202639,1169.0333395716661,1147.750029005632,1151.3690185546875,4922071,2.0677490234375
2021-03-30,1160.5890562717839,1206.3439374331733,1151.326058180779,1193.6773681640625,10546381,42.308349609375
2021-03-31,1190.83366672419,1196.0037115869577,1174.7204023091629,1178.8133544921875,8220987,-14.864013671875
2021-04-01,1189.110522281534,1199.105923026061,1181.3554536579588,1193.5911865234375,5675155,14.77783203125
2021-04-05,1198.5889682517625,1227.8858948661118,1195.1422710030156,1214.8746337890625,9479572,21.283447265625
2021-04-06,1226.162320506341,1228.747342967001,1211.9015711911009,1215.8653564453125,5793571,0.99072265625
2021-04-07,1215.1759757090142,1236.4592852394153,1212.0308440098686,1232.3663330078125,5879234,16.5009765625
2021-04-08,1232.1940491134949,1250.8923363163185,1224.4389816715218,1240.6815185546875,5654434,8.315185546875
2021-04-09,1253.7360117447722,1253.7360117447722,1232.23728165855,1241.7156982421875,6052712,1.0341796875
2021-04-12,1270.107636092024,1273.1666212515227,1219.2688636839985,1228.5318603515625,20384532,-13.183837890625
2021-04-13,1234.7791840130749,1236.7179510500807,1184.8020781702567,1203.88818359375,14855206,-24.6436767578125
2021-04-15,1148.0084843876693,1177.3915511559262,1137.4098505247566,1172.5230712890625,25342491,-31.3651123046875
2021-04-16,1176.1851668001211,1181.225939335156,1160.3303420495129,1166.4913330078125,10879878,-6.03173828125
2021-04-19,1154.6433034910378,1188.8517234682965,1148.0514755348884,1174.0740966796875,12508028,7.582763671875
2021-04-20,1188.2487756609848,1188.2487756609848,1156.7115195484307,1164.4234619140625,8560766,-9.650634765625
2021-04-22,1168.0425211701513,1176.013007638109,1159.0810883205606,1164.2080078125,6622446,-0.2154541015625
2021-04-23,1157.228631335406,1161.8816937790868,1146.8885393204955,1149.30126953125,7316262,-14.90673828125
2021-04-26,1147.9653111763905,1164.3802447330834,1138.271477623578,1157.7022705078125,7088606,8.4010009765625
2021-04-27,1159.813465880782,1165.8451852427174,1154.7726928795603,1161.9676513671875,3636115,4.265380859375
2021-04-28,1170.1535241231102,1171.4460353795055,1158.6070691956795,1168.43017578125,4879234,6.4625244140625
2021-04-29,1178.7700910224162,1179.6317650655612,1164.4663229431724,1168.7315673828125,5412357,0.3013916015625
2021-04-30,1160.0720087052553,1183.8541954072941,1159.7273179909107,1167.0084228515625,8354677,-1.72314453125
2021-05-03,1155.3328979061107,1172.738676005061,1152.920167887415,1165.0267333984375,4560337,-1.981689453125
2021-05-04,1166.7069310758193,1167.5254795369788,1140.9428500394654,1145.509765625,4887060,-19.5169677734375
2021-05-05,1155.5912223767866,1158.0039521560068,1144.1310188875818,1155.9359130859375,3939788,10.4261474609375
2021-05-06,1158.9519645780922,1175.9269066693464,1152.4032607594545,1173.2557373046875,4810090,17.31982421875
2021-05-07,1176.4438659417935,1183.1218412109477,1161.9676968327874,1165.45751953125,4991435,-7.7982177734375
2021-05-10,1163.1307956034163,1165.7589437563593,1150.3780816751782,1154.255615234375,7195348,-11.201904296875
2021-05-11,1151.972255726806,1155.505098899748,1141.8044581219108,1146.5867919921875,6420988,-7.6688232421875
2021-05-12,1146.0267953074956,1146.0267953074956,1132.6708439336114,1143.4417724609375,5241898,-3.14501953125
2021-05-14,1143.3123140362059,1143.3123140362059,1129.913344241812,1134.307861328125,4824609,-9.1339111328125
2021-05-17,1137.6685510099821,1150.2919945875576,1137.6685510099821,1145.509765625,5017129,11.201904296875
2021-05-18,1152.9200842102962,1158.6071129160698,1145.5958534810081,1154.6434326171875,5620150,9.1336669921875
2021-05-19,1156.3669654543755,1169.6797919469534,1148.8273149717184,1152.05859375,4435878,-2.5848388671875
2021-05-20,1161.8816201844372,1162.4847501064953,1150.3351637955125,1154.0404052734375,4490092,1.9818115234375
2021-05-21,1161.1058545174217,1169.7225955528013,1160.1149082613877,1167.1375732421875,4969733,13.09716796875
2021-05-24,1168.990210343967,1174.4618199428319,1159.0378322316353,1161.579833984375,4225371,-5.5577392578125
